REFNUM,ACRE
00001075,0.9+
00001076,0.9+
00001077,0.9+
00001078,0.9+
00001079,1.6+
00001080,1.0+
00001081,0.9+
00001082,3.0+
00001083,1.6+
00001084,2.8+
00001085,16.2+
00001086,19.0+
00001087,0.9+
00001088,0.9+
00001089,0.9+
00001090,0.9+
00001091,0.9+
00001092,6.9+
00001093,0.9+
00001094,3.0+
00001095,0.9+
00001096,0.9+
00001097,0.9+
00001099,0.9+
00001100,0.9+
00001101,0.9+
00001102,0.9+
00001103,0.9+
00001104,0.9+
00001105,40.0+
00001106,0.9+
00001107,0.9+
00001108,0.9+
00001109,0.9+
00001110,6.0+
00001111,0.9+
00001112,0.9+
00001113,0.9+
00001114,30.0+
00001115,0.9+
00001116,0.9+
00001117,0.9+
00001118,0.9+
00001119,0.9+
00001120,0.9+
00001121,1.0+
00001122,153.0+
00001123,17.3+
00001124,0.9+
00001125,1.6+
00001126,0.9+
00001127,8.7+
00001129,1.8+
00001130,0.9+
00001131,0.9+
00001132,47.0+
00001133,0.9+
00001134,3.0+
00001135,0.9+
00001136,0.9+
00001137,4.0+
00001138,0.9+
00001139,7.8+
00001140,8.7+
00001141,0.9+
00001142,6.2+
00001143,9.0+
00001144,0.9+
00001145,0.9+
00001146,0.9+
00001147,0.9+
00001148,47.5+
00001149,0.9+
00001150,284.0+
00001151,48.0+
00001152,0.9+
00001153,370.0+
00001154,1.4+
00001155,0.9+
00001156,12.3+
00001157,0.9+
00001158,0.9+
00001159,0.9+
00001160,0.9+
00001161,0.9+
00001162,2.2+
00001163,14.6+
00001164,0.9+
00001165,2.0+
00001166,0.9+
00001167,5.2+
00001168,0.9+
00001169,0.9+
00001170,1.5+
00001171,0.9+
00001172,0.9+
00001173,1.0+
00001174,1.4+
00001175,1.0+
00001176,0.3+
00001178,0.9+
00001180,0.9+
00001181,0.7+
00001182,2.7+
00001183,157.0+
00001184,1.4+
00001185,30.0+
00001186,6.2+
00001188,5.7+
00001189,1.6+
00001190,1.3+
00001191,0.9+
00001194,116.0+
00001195,0.9+
00001196,0.9+
00001197,0.9+
00001198,4.0+
00001199,2.2+
00001200,5.0+
00001201,400.0+
00001202,3.5+
00001203,0.9+
00001204,0.9+
00001205,0.9+
00001206,0.9+
00001207,5.6+
00001208,0.9+
00001209,2.2+
00001210,0.9+
00001211,259.0+
00001212,0.9+
00001213,2.0+
00001214,0.9+
00001215,2.0+
00001216,0.9+
00001217,0.9+
00001218,0.9+
00001219,0.9+
00001220,2.5+
00001221,0.9+
00001222,0.9+
00001223,0.9+
00001224,14.9+
00001225,0.9+
00001226,20.3+
00001227,5.4+
00001228,0.9+
00001229,4.5+
00001230,150.0+
00001231,0.9+
00001232,0.9+
00001234,2.0+
00001235,0.9+
00001236,3.0+
00001237,0.9+
00001238,0.9+
00001239,0.9+
00001240,0.9+
00001241,0.9+
00001242,0.9+
00001243,0.9+
00001244,0.9+
00001245,0.9+
00001246,0.9+
00001247,0.9+
00001248,0.9+
00001249,0.9+
00001250,0.9+
00001251,0.9+
00001252,0.9+
00001253,0.9+
00001254,0.9+
00001255,0.9+
00001256,0.9+
00001257,0.9+
00001258,0.9+
00001259,0.9+
00001260,0.9+
00001261,0.9+
00001262,0.9+
00001263,0.9+
00001264,0.9+
00001265,0.9+
00001266,0.9+
00001267,88.7+
00001268,0.9+
00001269,703.0+
00001270,0.9+
00001271,75.0+
00001272,3.5+
00001273,2.6+
